neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
Tévenon,105.43,2.0,578.0,16.0
Valbroye,79.21,2.0,270.0,18.0
Valeyres-sous-Rances,100.0,1.0,1125.0,0.0
Vallorbe,173.67,2.0,810.0,12.0
Vaulion,81.7,1.0,1125.0,57.0
Vevey,142.08,10.0,699.0,12.0
Veytaux,142.24,4.0,904.0,20.0
Vich,123.0,3.0,763.0,21.0
Villars-Sainte-Croix,120.0,2.0,31.0,16.0
Villars-sous-Yens,80.0,3.0,90.0,33.0
Villeneuve (Vaud),137.01,2.0,921.0,26.0
Vinzel,50.0,2.0,1125.0,0.0
Vuarrens,59.0,2.0,1125.0,114.0
Vufflens-la-Ville,135.67,4.0,131.0,19.0
Vufflens-le-Château,82.5,2.0,1125.0,0.0
Vugelles-La Mothe,78.89,1.0,618.0,8.0
Vuiteboeuf,81.0,1.0,1125.0,16.0
Vulliens,113.5,1.0,3.0,5.0
Vullierens,93.75,2.0,1125.0,9.0
Vully-les-Lacs,151.57,5.0,972.0,16.0
Yens,99.0,2.0,180.0,26.0
Yverdon-les-Bains,81.04,4.0,697.0,28.0
Yvonand,126.41,3.0,904.0,14.0
Yvorne,127.64,6.0,755.0,3.0
